X	Y	Predichos	Varianza
314351.30203182	6134907.96293256	223.548777849281	5882.21064837263
324351.30203182	6134907.96293256	226.690498150713	6059.54522565943
334351.30203182	6134907.96293256	225.164734060977	6698.89467169324
344351.30203182	6134907.96293256	222.508905103901	7248.34970526816
354351.30203182	6134907.96293256	219.374365088864	7495.68493746868
364351.30203182	6134907.96293256	217.235391691298	7514.36477388699
374351.30203182	6134907.96293256	215.411370980635	7261.29080484864
384351.30203182	6134907.96293256	213.294746110412	6650.48091125327
394351.30203182	6134907.96293256	210.794724724244	5592.28879792193
404351.30203182	6134907.96293256	207.740511645924	3874.20744745134
414351.30203182	6134907.96293256	205.797334540747	1336.84567376746
424351.30203182	6134907.96293256	251.585760154402	3168.31302924713
434351.30203182	6134907.96293256	302.942131165369	3998.23365908891
444351.30203182	6134907.96293256	348.301151062406	3823.50334729378
454351.30203182	6134907.96293256	367.587443216782	4301.22467743561
464351.30203182	6134907.96293256	365.110055033427	5614.84939210797
314351.30203182	6144907.96293256	232.358791858107	3548.1346167819
324351.30203182	6144907.96293256	232.076706509717	4454.65586727402
334351.30203182	6144907.96293256	218.427751398293	5767.76705666707
344351.30203182	6144907.96293256	212.124975893093	6631.34166359255
354351.30203182	6144907.96293256	214.580605581948	7096.20057409359
364351.30203182	6144907.96293256	210.985141646787	7192.63472571103
374351.30203182	6144907.96293256	207.889674825432	6974.65769030061
384351.30203182	6144907.96293256	205.132636671996	6440.14282138412
394351.30203182	6144907.96293256	202.614138841432	5517.64759671445
404351.30203182	6144907.96293256	201.974325394972	4198.2400930865
414351.30203182	6144907.96293256	211.655534481778	3067.26656145618
424351.30203182	6144907.96293256	249.098591595067	3459.07557616335
434351.30203182	6144907.96293256	303.408038499369	3524.02888536085
444351.30203182	6144907.96293256	367.169302140579	2026.1558213935
454351.30203182	6144907.96293256	381.778545378472	2636.39608550528
464351.30203182	6144907.96293256	364.741005138121	4705.38991224848
314351.30203182	6154907.96293256	241.925307388845	1234.5387755822
324351.30203182	6154907.96293256	228.972862269199	3629.03394062282
334351.30203182	6154907.96293256	217.460203379064	5370.04320155529
344351.30203182	6154907.96293256	208.959233381312	6365.08011152434
354351.30203182	6154907.96293256	202.776579320097	6856.25259610794
364351.30203182	6154907.96293256	203.918572598377	6994.5570147291
374351.30203182	6154907.96293256	200.320873492947	6827.6542799617
384351.30203182	6154907.96293256	197.41019515665	6388.55991766868
