X	Y	Predichos	Varianza
308351.30203182	6126907.96293256	272.981480854948	10259.6906679083
310351.30203182	6126907.96293256	273.376700613197	10022.6489867622
312351.30203182	6126907.96293256	273.71184541582	9819.41871637881
314351.30203182	6126907.96293256	272.089903749039	9383.30681067509
316351.30203182	6126907.96293256	272.366507447632	9266.60233579446
318351.30203182	6126907.96293256	272.573440279064	9179.77922768019
320351.30203182	6126907.96293256	272.711773800072	9120.64012422566
322351.30203182	6126907.96293256	272.783773262604	9086.33016580691
324351.30203182	6126907.96293256	272.792639884989	9073.52610478626
326351.30203182	6126907.96293256	272.742206251613	9078.6416685134
328351.30203182	6126907.96293256	272.636628133301	9098.02215651417
330351.30203182	6126907.96293256	272.480107266926	9128.1086202161
332351.30203182	6126907.96293256	272.276666332834	9165.56138305412
334351.30203182	6126907.96293256	272.029984095485	9207.34117908944
336351.30203182	6126907.96293256	271.743288503497	9250.75218752908
338351.30203182	6126907.96293256	271.4192993962	9293.45440070941
340351.30203182	6126907.96293256	271.060209925574	9333.45360799063
342351.30203182	6126907.96293256	258.789543309937	8966.2815535613
344351.30203182	6126907.96293256	258.53396460764	9007.53488656988
346351.30203182	6126907.96293256	258.248969491474	9041.86613340088
348351.30203182	6126907.96293256	257.936023386731	9068.42154877084
350351.30203182	6126907.96293256	257.596020949174	9086.5065115836
352351.30203182	6126907.96293256	257.229359120011	9095.55486068156
354351.30203182	6126907.96293256	256.836006259617	9095.10127455815
356351.30203182	6126907.96293256	256.415566336127	9084.75684857824
358351.30203182	6126907.96293256	255.967337987368	9064.18778293145
360351.30203182	6126907.96293256	255.490368848081	9033.09696105277
362351.30203182	6126907.96293256	254.98350592397	8991.20813793139
364351.30203182	6126907.96293256	254.445443071341	8938.25244629048
366351.30203182	6126907.96293256	253.874766888246	8873.95694982149
368351.30203182	6126907.96293256	253.270002535024	8798.03501621273
370351.30203182	6126907.96293256	252.629661336923	8710.17834393308
372351.30203182	6126907.96293256	251.141192421074	8588.5266320921
374351.30203182	6126907.96293256	250.475558553026	8478.33617161068
376351.30203182	6126907.96293256	249.770197163744	8354.92841354149
378351.30203182	6126907.96293256	249.024096875481	8217.85938545029
380351.30203182	6126907.96293256	248.236603012041	8066.65044994379
382351.30203182	6126907.96293256	247.407558274693	7900.79333794289
384351.30203182	6126907.96293256	239.975113267609	7517.16069209001
386351.30203182	6126907.96293256	239.258730312634	7332.17658222279
388351.30203182	6126907.96293256	238.515244384341	7131.19056318686
390351.30203182	6126907.96293256	237.749182739761	6913.70630804003
392351.30203182	6126907.96293256	233.543265139254	6664.25846514256
394351.30203182	6126907.96293256	232.928950370173	6414.08520679446
396351.30203182	6126907.96293256	236.215570871321	6188.53758578501
398351.30203182	6126907.96293256	235.715868002381	5906.75557899976
400351.30203182	6126907.96293256	235.274002474244	5610.53342503323
402351.30203182	6126907.96293256	234.938115074559	5303.18702236566
404351.30203182	6126907.96293256	234.779141693408	4990.34563550239
406351.30203182	6126907.96293256	234.900771949691	4681.04996603928
408351.30203182	6126907.96293256	235.451132331282	4389.03908685514
410351.30203182	6126907.96293256	236.630848464757	4133.6273247711
412351.30203182	6126907.96293256	238.683319358842	3938.60534603524
414351.30203182	6126907.96293256	241.846204891413	3826.90264207846
416351.30203182	6126907.96293256	240.315888749503	3797.50898768006
418351.30203182	6126907.96293256	246.037959932406	3872.3605209556
420351.30203182	6126907.96293256	252.72940574399	4015.82993087411
422351.30203182	6126907.96293256	260.155472905793	4200.45270833387
424351.30203182	6126907.96293256	268.08752617097	4401.50353105892
426351.30203182	6126907.96293256	276.336251212933	4600.77570712846
428351.30203182	6126907.96293256	284.753766253441	4786.64265289434
430351.30203182	6126907.96293256	293.223423538886	4952.77943260004
432351.30203182	6126907.96293256	301.648102789653	5096.82957436034
434351.30203182	6126907.96293256	309.940745879316	5219.39946573191
436351.30203182	6126907.96293256	318.017850738102	5323.37448890085
438351.30203182	6126907.96293256	325.79587188073	5413.4377235084
440351.30203182	6126907.96293256	333.190493342631	5495.65685243366
442351.30203182	6126907.96293256	340.11882999249	5577.02201558456
444351.30203182	6126907.96293256	346.504433908033	5664.85746203159
446351.30203182	6126907.96293256	354.625554285113	5759.30605576145
448351.30203182	6126907.96293256	359.730617815502	5879.89111227114
450351.30203182	6126907.96293256	364.171052673383	6023.6386708668
452351.30203182	6126907.96293256	367.9616519045	6192.34108408959
454351.30203182	6126907.96293256	371.143938347327	6385.65274955715
456351.30203182	6126907.96293256	373.779854658215	6601.47613210879
