ID	Xt	Yt	GUSg10	CATGUSg10	GUSg40	CATGUSg40
76	334351.302	6129907.963	2.38595014007209	Moderado	3.82243526071284	Alto
77	336851.302	6129907.963	2.37972808031184	Moderado	3.81246714770729	Alto
78	339351.302	6129907.963	2.37396803858815	Moderado	3.80323921531339	Alto
79	341851.302	6129907.963	2.37533069731514	Moderado	3.80542227634174	Alto
80	344351.302	6129907.963	2.38081430935553	Moderado	3.81420735179962	Alto
81	346851.302	6129907.963	2.38647562257422	Moderado	3.82327711520564	Alto
82	349351.302	6129907.963	2.39712620969294	Moderado	3.8403399947127	Alto
83	351851.302	6129907.963	2.41540744276785	Moderado	3.86962762681415	Alto
84	354351.302	6129907.963	2.43158080732863	Moderado	3.89553832710215	Alto
85	356851.302	6129907.963	2.45523553808756	Moderado	3.93343462485667	Alto
86	359351.302	6129907.963	2.48505559526737	Moderado	3.98120814540355	Alto
87	361851.302	6129907.963	2.52221404810202	Moderado	4.04073821602959	Muy alto
88	364351.302	6129907.963	2.55189697769292	Moderado	4.08829204995257	Muy alto
89	366851.302	6129907.963	2.57093578551079	Moderado	4.11879336224017	Muy alto
90	369351.302	6129907.963	2.57241427977781	Moderado	4.12116199875276	Muy alto
91	371851.302	6129907.963	2.54833117515464	Moderado	4.08257942036902	Muy alto
92	374351.302	6129907.963	2.53449683535152	Moderado	4.06041597806401	Muy alto
93	376851.302	6129907.963	2.49993274890323	Moderado	4.0050422380284	Muy alto
94	379351.302	6129907.963	2.50368470433619	Moderado	4.01105309571678	Muy alto
95	381851.302	6129907.963	2.49069044216887	Moderado	3.9902355081817	Alto
96	384351.302	6129907.963	2.47896961119853	Moderado	3.97145803381899	Alto
97	386851.302	6129907.963	2.49619331259031	Moderado	3.99905143672135	Alto
98	389351.302	6129907.963	2.50041143690377	Moderado	4.0058091249224	Muy alto
99	391851.302	6129907.963	2.49180152305098	Moderado	3.99201552641006	Alto
100	394351.302	6129907.963	2.46058828817244	Moderado	3.94201005161123	Alto
101	396851.302	6129907.963	2.41254521866792	Moderado	3.86504217209744	Alto
102	399351.302	6129907.963	2.3553515525613	Moderado	3.77341448787066	Alto
103	401851.302	6129907.963	2.29931504857046	Moderado	3.68364064677305	Alto
104	404351.302	6129907.963	2.24994006934614	Moderado	3.60453896798512	Alto
105	406851.302	6129907.963	2.20925542093648	Moderado	3.53935972050675	Alto
106	409351.302	6129907.963	2.1740003260076	Moderado	3.48287894343072	Alto
107	411851.302	6129907.963	2.14405472617891	Moderado	3.43490429602887	Alto
108	414351.302	6129907.963	2.12410215025659	Moderado	3.40293907241978	Alto
111	421851.302	6129907.963	2.11175366836102	Moderado	3.38315606362125	Alto
112	424351.302	6129907.963	2.11603537085706	Moderado	3.39001560788492	Alto
113	426851.302	6129907.963	2.13046362855202	Moderado	3.41313054228258	Alto
114	429351.302	6129907.963	2.14082490023712	Moderado	3.42972992110856	Alto
115	431851.302	6129907.963	2.14937107895227	Moderado	3.44342141210685	Alto
116	434351.302	6129907.963	2.16177807468332	Moderado	3.46329816358013	Alto
117	436851.302	6129907.963	2.17397759812265	Moderado	3.48284253199555	Alto
118	439351.302	6129907.963	2.17728761747062	Moderado	3.48814538156347	Alto
119	441851.302	6129907.963	2.17473163821695	Moderado	3.48405054946249	Alto
120	444351.302	6129907.963	2.17534553206066	Moderado	3.48503404422843	Alto
121	446851.302	6129907.963	2.17684686633492	Moderado	3.48743927180282	Alto
122	449351.302	6129907.963	2.17500021762673	Moderado	3.48448082978939	Alto
124	454351.302	6129907.963	2.17202455601243	Moderado	3.4797136413694	Alto
126	459351.302	6129907.963	2.15095947717091	Moderado	3.44596612134323	Alto
127	461851.302	6129907.963	2.13478977285119	Moderado	3.42006128498101	Alto
128	464351.302	6129907.963	2.10793507189598	Moderado	3.37703844300159	Alto
130	309351.302	6132407.963	2.56798203769052	Moderado	4.11406128103283	Muy alto
131	311851.302	6132407.963	2.56821186382902	Moderado	4.11442947629429	Muy alto
132	314351.302	6132407.963	2.56307155614939	Moderado	4.10619439501764	Muy alto
133	316851.302	6132407.963	2.54544442191517	Moderado	4.07795466849922	Muy alto
134	319351.302	6132407.963	2.51854747707224	Moderado	4.03486414927741	Muy alto
135	321851.302	6132407.963	2.4905583258536	Moderado	3.9900238499188	Alto
136	324351.302	6132407.963	2.46134656820887	Moderado	3.94322486171982	Alto
137	326851.302	6132407.963	2.43987665142748	Moderado	3.90882876702721	Alto
138	329351.302	6132407.963	2.42044480018851	Moderado	3.87769777559982	Alto
139	331851.302	6132407.963	2.39884730907821	Moderado	3.84309729917894	Alto
140	334351.302	6132407.963	2.38419496000446	Moderado	3.81962335694891	Alto
141	336851.302	6132407.963	2.37718579720847	Moderado	3.80839425766075	Alto
142	339351.302	6132407.963	2.37243099768564	Moderado	3.80077678357845	Alto
143	341851.302	6132407.963	2.37457293894838	Moderado	3.80420830197926	Alto
144	344351.302	6132407.963	2.38062029201147	Moderado	3.81389652437507	Alto
145	346851.302	6132407.963	2.38609591810381	Moderado	3.82266880586508	Alto
146	349351.302	6132407.963	2.38861495789402	Moderado	3.82670445872953	Alto
147	351851.302	6132407.963	2.40218680280883	Moderado	3.84844736847606	Alto
148	354351.302	6132407.963	2.41977182646787	Moderado	3.87661963132677	Alto
149	356851.302	6132407.963	2.44332792733454	Moderado	3.91435791807694	Alto
150	359351.302	6132407.963	2.47121205372652	Moderado	3.95902996136266	Alto
151	361851.302	6132407.963	2.50644487001374	Moderado	4.01547504671823	Muy alto
152	364351.302	6132407.963	2.53314084767026	Moderado	4.05824360445113	Muy alto
153	366851.302	6132407.963	2.55157796960616	Moderado	4.08778097985987	Muy alto
154	369351.302	6132407.963	2.54158047812699	Moderado	4.07176439874744	Muy alto
155	371851.302	6132407.963	2.52473792003349	Moderado	4.04478161027424	Muy alto
156	374351.302	6132407.963	2.51766777949817	Moderado	4.03345482098953	Muy alto
157	376851.302	6132407.963	2.49590321924846	Moderado	3.99858668978463	Alto
158	379351.302	6132407.963	2.50608114165982	Moderado	4.0148923320747	Muy alto
159	381851.302	6132407.963	2.47435572344843	Moderado	3.96406630885008	Alto
160	384351.302	6132407.963	2.44878406331947	Moderado	3.92309897524565	Alto
161	386851.302	6132407.963	2.47344863774772	Moderado	3.96261310314027	Alto
162	389351.302	6132407.963	2.47935565422336	Moderado	3.972076497904	Alto
163	391851.302	6132407.963	2.47064749927937	Moderado	3.95812551126996	Alto
164	394351.302	6132407.963	2.44634829578233	Moderado	3.91919672952622	Alto
165	396851.302	6132407.963	2.39771961699174	Moderado	3.84129066880467	Alto
166	399351.302	6132407.963	2.34081176050293	Moderado	3.75012086873172	Alto
167	401851.302	6132407.963	2.28845247414752	Moderado	3.66623815088722	Alto
168	404351.302	6132407.963	2.238911307592	Moderado	3.58687023002492	Alto
169	406851.302	6132407.963	2.19687487723253	Moderado	3.51952534676776	Alto
170	409351.302	6132407.963	2.16287412290782	Moderado	3.46505409858917	Alto
171	411851.302	6132407.963	2.13266122201442	Moderado	3.41665121884591	Alto
172	414351.302	6132407.963	2.11460490928631	Moderado	3.38772392263329	Alto
173	416851.302	6132407.963	2.10845326464668	Moderado	3.37786861887527	Alto
174	419351.302	6132407.963	2.11046329421479	Moderado	3.38108880682772	Alto
175	421851.302	6132407.963	2.10982715245261	Moderado	3.38006966956173	Alto
176	424351.302	6132407.963	2.11863599163119	Moderado	3.39418195837977	Alto
179	431851.302	6132407.963	2.16326121453784	Moderado	3.46567424260261	Alto
180	434351.302	6132407.963	2.1765110991186	Moderado	3.48690135257916	Alto
181	436851.302	6132407.963	2.18289138313233	Moderado	3.49712295033087	Alto
182	439351.302	6132407.963	2.18008179319218	Moderado	3.49262181869571	Alto
183	441851.302	6132407.963	2.16825545266832	Moderado	3.47367531169862	Alto
185	446851.302	6132407.963	2.15538614215962	Moderado	3.45305790421665	Alto
187	451851.302	6132407.963	2.16163506308391	Moderado	3.46306905041843	Alto
188	454351.302	6132407.963	2.16598143133943	Moderado	3.47003219310817	Alto
189	456851.302	6132407.963	2.16385893508997	Moderado	3.46663182678517	Alto
190	459351.302	6132407.963	2.15818099364638	Moderado	3.45753542396529	Alto
